file_name,category,target,quality,condition
1_04.png,Nearly Perfect,circle,high,AI Many
1_08.png,Nearly Perfect,circle,high,AI Many
1_14.png,Nearly Perfect,circle,high,AI Many
10_12.png,Nearly Perfect,circle,high,AI Many
10_22.png,Nearly Perfect,circle,high,AI Many
10_34.png,Nearly Perfect,circle,high,AI Many
10_18.png,Passable,circle,high,AI Many
1_02.png,Perfect,circle,high,AI Many
1_06.png,Perfect,circle,high,AI Many
1_10.png,Perfect,circle,high,AI Many
1_12.png,Perfect,circle,high,AI Many
1_16.png,Perfect,circle,high,AI Many
1_18.png,Perfect,circle,high,AI Many
10_01.png,Perfect,circle,high,AI Many
10_02.png,Perfect,circle,high,AI Many
10_04.png,Perfect,circle,high,AI Many
10_06.png,Perfect,circle,high,AI Many
10_10.png,Perfect,circle,high,AI Many
10_14.png,Perfect,circle,high,AI Many
10_20.png,Perfect,circle,high,AI Many
10_26.png,Perfect,circle,high,AI Many
10_28.png,Perfect,circle,high,AI Many
10_30.png,Perfect,circle,high,AI Many
10_36.png,Perfect,circle,high,AI Many
10_05.png,Nearly Perfect,circle,medium,AI Many
10_15.png,Nearly Perfect,circle,medium,AI Many
10_17.png,Nearly Perfect,circle,medium,AI Many
10_21.png,Nearly Perfect,circle,medium,AI Many
2_17.png,Nearly Perfect,circle,medium,AI Many
1_10.png,Needs significant improvement,circle,medium,AI Many
10_19.png,Needs significant improvement,circle,medium,AI Many
10_31.png,Needs significant improvement,circle,medium,AI Many
10_07.png,Passable,circle,medium,AI Many
10_25.png,Passable,circle,medium,AI Many
1_01.png,Perfect,circle,medium,AI Many
1_02.png,Perfect,circle,medium,AI Many
1_03.png,Perfect,circle,medium,AI Many
1_05.png,Perfect,circle,medium,AI Many
1_06.png,Perfect,circle,medium,AI Many
1_07.png,Perfect,circle,medium,AI Many
1_09.png,Perfect,circle,medium,AI Many
1_11.png,Perfect,circle,medium,AI Many
1_13.png,Perfect,circle,medium,AI Many
1_14.png,Perfect,circle,medium,AI Many
1_15.png,Perfect,circle,medium,AI Many
1_17.png,Perfect,circle,medium,AI Many
1_18.png,Perfect,circle,medium,AI Many
1_19.png,Perfect,circle,medium,AI Many
1_21.png,Perfect,circle,medium,AI Many
1_23.png,Perfect,circle,medium,AI Many
1_25.png,Perfect,circle,medium,AI Many
1_27.png,Perfect,circle,medium,AI Many
1_29.png,Perfect,circle,medium,AI Many
1_31.png,Perfect,circle,medium,AI Many
1_33.png,Perfect,circle,medium,AI Many
1_35.png,Perfect,circle,medium,AI Many
10_01.png,Perfect,circle,medium,AI Many
10_02.png,Perfect,circle,medium,AI Many
10_03.png,Perfect,circle,medium,AI Many
10_04.png,Perfect,circle,medium,AI Many
10_06.png,Perfect,circle,medium,AI Many
10_09.png,Perfect,circle,medium,AI Many
10_10.png,Perfect,circle,medium,AI Many
10_11.png,Perfect,circle,medium,AI Many
10_12.png,Perfect,circle,medium,AI Many
10_13.png,Perfect,circle,medium,AI Many
10_14.png,Perfect,circle,medium,AI Many
10_18.png,Perfect,circle,medium,AI Many
10_20.png,Perfect,circle,medium,AI Many
10_22.png,Perfect,circle,medium,AI Many
10_23.png,Perfect,circle,medium,AI Many
10_26.png,Perfect,circle,medium,AI Many
10_27.png,Perfect,circle,medium,AI Many
10_28.png,Perfect,circle,medium,AI Many
10_29.png,Perfect,circle,medium,AI Many
10_30.png,Perfect,circle,medium,AI Many
10_33.png,Perfect,circle,medium,AI Many
10_34.png,Perfect,circle,medium,AI Many
10_35.png,Perfect,circle,medium,AI Many
10_36.png,Perfect,circle,medium,AI Many
2_01.png,Perfect,circle,medium,AI Many
2_03.png,Perfect,circle,medium,AI Many
2_05.png,Perfect,circle,medium,AI Many
2_07.png,Perfect,circle,medium,AI Many
2_09.png,Perfect,circle,medium,AI Many
2_11.png,Perfect,circle,medium,AI Many
2_13.png,Perfect,circle,medium,AI Many
2_15.png,Perfect,circle,medium,AI Many
2_19.png,Perfect,circle,medium,AI Many
1_01.png,Nearly Perfect,lines,high,AI Many
1_05.png,Nearly Perfect,lines,high,AI Many
1_06.png,Nearly Perfect,lines,high,AI Many
1_15.png,Nearly Perfect,lines,high,AI Many
1_17.png,Nearly Perfect,lines,high,AI Many
1_29.png,Nearly Perfect,lines,high,AI Many
1_34.png,Nearly Perfect,lines,high,AI Many
1_35.png,Nearly Perfect,lines,high,AI Many
10_08.png,Nearly Perfect,lines,high,AI Many
10_11.png,Nearly Perfect,lines,high,AI Many
10_12.png,Nearly Perfect,lines,high,AI Many
10_17.png,Nearly Perfect,lines,high,AI Many
10_22.png,Nearly Perfect,lines,high,AI Many
10_28.png,Nearly Perfect,lines,high,AI Many
1_26.png,Needs significant improvement,lines,high,AI Many
1_28.png,Needs significant improvement,lines,high,AI Many
10_06.png,Needs significant improvement,lines,high,AI Many
10_09.png,Needs significant improvement,lines,high,AI Many
10_31.png,Needs significant improvement,lines,high,AI Many
10_35.png,Needs significant improvement,lines,high,AI Many
2_05.png,Needs significant improvement,lines,high,AI Many
2_15.png,Needs significant improvement,lines,high,AI Many
2_22.png,Needs significant improvement,lines,high,AI Many
2_24.png,Needs significant improvement,lines,high,AI Many
1_18.png,Not usable,lines,high,AI Many
1_21.png,Not usable,lines,high,AI Many
10_05.png,Not usable,lines,high,AI Many
10_14.png,Not usable,lines,high,AI Many
10_30.png,Not usable,lines,high,AI Many
10_33.png,Not usable,lines,high,AI Many
2_26.png,Not usable,lines,high,AI Many
1_04.png,Passable,lines,high,AI Many
1_10.png,Passable,lines,high,AI Many
1_12.png,Passable,lines,high,AI Many
1_24.png,Passable,lines,high,AI Many
1_33.png,Passable,lines,high,AI Many
10_02.png,Passable,lines,high,AI Many
10_07.png,Passable,lines,high,AI Many
10_10.png,Passable,lines,high,AI Many
10_16.png,Passable,lines,high,AI Many
10_20.png,Passable,lines,high,AI Many
10_23.png,Passable,lines,high,AI Many
10_24.png,Passable,lines,high,AI Many
10_27.png,Passable,lines,high,AI Many
10_29.png,Passable,lines,high,AI Many
10_34.png,Passable,lines,high,AI Many
2_02.png,Passable,lines,high,AI Many
2_08.png,Passable,lines,high,AI Many
2_10.png,Passable,lines,high,AI Many
2_13.png,Passable,lines,high,AI Many
2_19.png,Passable,lines,high,AI Many
2_20.png,Passable,lines,high,AI Many
1_02.png,Perfect,lines,high,AI Many
1_03.png,Perfect,lines,high,AI Many
1_07.png,Perfect,lines,high,AI Many
1_08.png,Perfect,lines,high,AI Many
1_09.png,Perfect,lines,high,AI Many
1_11.png,Perfect,lines,high,AI Many
1_13.png,Perfect,lines,high,AI Many
1_14.png,Perfect,lines,high,AI Many
1_16.png,Perfect,lines,high,AI Many
1_19.png,Perfect,lines,high,AI Many
1_20.png,Perfect,lines,high,AI Many
1_22.png,Perfect,lines,high,AI Many
1_23.png,Perfect,lines,high,AI Many
1_25.png,Perfect,lines,high,AI Many
1_30.png,Perfect,lines,high,AI Many
1_32.png,Perfect,lines,high,AI Many
1_36.png,Perfect,lines,high,AI Many
10_01.png,Perfect,lines,high,AI Many
10_03.png,Perfect,lines,high,AI Many
10_04.png,Perfect,lines,high,AI Many
10_13.png,Perfect,lines,high,AI Many
10_15.png,Perfect,lines,high,AI Many
10_18.png,Perfect,lines,high,AI Many
10_19.png,Perfect,lines,high,AI Many
10_21.png,Perfect,lines,high,AI Many
10_25.png,Perfect,lines,high,AI Many
10_26.png,Perfect,lines,high,AI Many
10_32.png,Perfect,lines,high,AI Many
10_36.png,Perfect,lines,high,AI Many
2_01.png,Perfect,lines,high,AI Many
2_03.png,Perfect,lines,high,AI Many
2_04.png,Perfect,lines,high,AI Many
2_06.png,Perfect,lines,high,AI Many
2_07.png,Perfect,lines,high,AI Many
2_09.png,Perfect,lines,high,AI Many
2_11.png,Perfect,lines,high,AI Many
2_12.png,Perfect,lines,high,AI Many
2_14.png,Perfect,lines,high,AI Many
2_16.png,Perfect,lines,high,AI Many
2_18.png,Perfect,lines,high,AI Many
2_28.png,Perfect,lines,high,AI Many
